OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
138;United Kingdom;Dudgeon Wind Farm;67;402;Production;2017;32058,4682;55,16409559; ;0,383729582;0,007428612
139;United Kingdom;East Anglia One North Wind Farm;;800;Approved;;36100,72489;208,0878145; ;0,736200538;0,027462877
140;United Kingdom;East Anglia One Wind Farm;102;714;Production;;48472,01686;206,1675598; ;0,692076466;0,027114984
141;United Kingdom;East Anglia Southern Met Mast (1B);1;;Production;;56406,61939;0,195833194; ;0,018802699;2,57494E-05
142;United Kingdom;East Anglia Three Wind Farm;172;1400;Approved;;67758,58984;305,8859748; ;0,911320958;0,040629356
143;United Kingdom;East Anglia Two Wind Farm;;900;Planned;;29719,3751;255,2218052; ;0,815928385;0,033512724
144;United Kingdom;Galloper Wind Farm;56;353;Production;2018;28256,01829;113,6543072; ;0,819425496;0,014838051
145;United Kingdom;Greater Gabbard Wind Farm;140;504;Production;2012;24843,21287;146,2416428; ;0,74394445;0,019088603
146;United Kingdom;Gunfleet Sands Demo Wind Farm;2;12;Production;2013;8297,732623;2,548695796; ;0,079412643;0,000331362
147;United Kingdom;Gunfleet Sands I Wind Farm;30;108;Production;2010;6296,741707;9,994853708; ;0,174832642;0,001300264
148;United Kingdom;Gunfleet Sands II Wind Farm;18;65;Production;2010;8298,47645;5,817923715; ;0,210601634;0,000756782
149;United Kingdom;Hornsea Met Mast;1;;Production;;115663,8593;0,031374947; ;0,00772405;4,28695E-06
150;United Kingdom;Hornsea Project 1 (Heron East) Wind Farm;58;406;Production;2020;111374,2468;130,6529733; ;0,656606183;0,017848494
151;United Kingdom;Hornsea Project 1 (Heron West) Wind Farm;58;406;Production;2020;102222,267;118,5499909; ;0,598809333;0,016201032
152;United Kingdom;Hornsea Project 1 (Njord) Wind Farm;87;609;Production;2019;105672,6212;158,3674167; ;0,754178827;0,021635833
153;United Kingdom;Hornsea Project 2 (HOW02) Wind Farm;165;1386;Construction;;89487,56761;461,8903286; ;1,7491203;0,063192257
154;United Kingdom;Hornsea Project 3 (HOW03) Wind Farm;300;2400;Approved;;121136,5224;696,7656037; ;1,501503311;0,095174233
155;United Kingdom;Hornsea Project 4 (HOW04) Wind Farm;180;1000;Planned;;65413,65854;847,5745823; ;1,937474428;0,116229152
156;United Kingdom;Humber Gateway Wind Farm;73;219;Production;2015;8025,893168;26,53651148; ;0,260721435;0,003605233
157;United Kingdom;Inner Dowsing Wind Farm;27;97;Production;2009;5056,703905;8,80740553; ;0,149660157;0,001183949
158;United Kingdom;Kentish Flats Extension Wind Farm;15;49,5;Production;2015;7542,702792;8,283016883; ;0,239856348;0,001070978
159;United Kingdom;Kentish Flats Wind Farm;30;90;Production;2005;8371,669431;9,952280129; ;0,175896577;0,001287082
160;United Kingdom;Lincs Wind Farm;75;270;Production;2013;6335,022035;38,31080015; ;0,383804857;0,005150155
161;United Kingdom;London Array Wind Farm;175;630;Production;2013;20451,27657;122,4775176; ;0,49351946;0,015896431
162;United Kingdom;Lynn Wind Farm;27;97;Production;2009;5305,397724;7,883174756; ;0,145618469;0,001058427
163;United Kingdom;Norfolk Boreas Wind Farm;;1800;Planned;;73178,9574;725,3710186; ;1,278801577;0,09717146
164;United Kingdom;Norfolk Vanguard Wind Farm;225;1800;Approved;;47493,02202;592,3653743; ;1,700462104;0,079048799
165;United Kingdom;Sheringham Shoal Wind Farm;88;317;Production;2012;16753,7895;34,98515625; ;0,342227056;0,004697131
166;United Kingdom;Dogger Bank C;100;1200;Approved;;195786,1202;560,1683544; ;1,313385854;0,078707875
167;United Kingdom;Sofia Wind Farm;200;1400;Approved;;164933,3449;593,7676137; ;1,248527405;0,083326237
168;United Kingdom;Thanet Wind Farm;100;300;Production;2010;10851,36554;34,96526125; ;0,288737163;0,004518953
169;United Kingdom;Triton Knoll Wind Farm;90;855;Construction;;31165,55944;219,6251535; ;0,796914864;0,029723284
170;United Kingdom;Westermost Rough Wind Farm;35;210;Production;2015;8021,92519;34,92538255; ;0,293937908;0,004763037
171;United Kingdom;East Anglia North Tranche 2 (Norfolk Boreas);90;1800;Approved;;73178,95654;725,371016; ;1,278801575;0,09717146
172;United Kingdom;East Anglia North Tranche One East  (Norfolk Vanguard East);90;1800;Planned;;69902,5636;297,2961176; ;0,876324927;0,03963534
