; Do not edit this file, it was generated by `get_holidays.py
; SPDX-FileCopyrightText: 2023 Helmholtz-Zentrum hereon GmbH
; SPDX-License-Identifier: CC0-1.0
Date,Holiday
1972-01-01,Nouvel an - Premier janvier
1972-01-11,Commémoration de la présentation du manifeste de l'indépendance
1972-01-26,Eid al-Adha* (*estimated)
1972-01-27,Eid al-Adha* (*estimated)
1972-02-16,1er Moharram* (*estimated)
1972-03-03,Fête du Trône
1972-04-25,Aid al Mawlid Annabawi* (*estimated)
1972-04-26,Aid al Mawlid Annabawi* (*estimated)
1972-05-01,Fête du Travail
1972-07-09,Fête du Trône
1972-08-14,Journée de Oued Ed-Dahab
1972-08-20,Commémoration de la révolution du Roi et du peuple
1972-11-07,Eid al-Fitr* (*estimated)
1972-11-08,Eid al-Fitr* (*estimated)
1972-11-18,Fête de l'indépendance
1973-01-01,Nouvel an - Premier janvier
1973-01-11,Commémoration de la présentation du manifeste de l'indépendance
1973-01-14,Eid al-Adha* (*estimated)
1973-01-15,Eid al-Adha* (*estimated)
1973-02-04,1er Moharram* (*estimated)
1973-03-03,Fête du Trône
1973-04-15,Aid al Mawlid Annabawi* (*estimated)
1973-04-16,Aid al Mawlid Annabawi* (*estimated)
1973-05-01,Fête du Travail
1973-07-09,Fête du Trône
1973-08-14,Journée de Oued Ed-Dahab
1973-08-20,Commémoration de la révolution du Roi et du peuple
1973-10-27,Eid al-Fitr* (*estimated)
1973-10-28,Eid al-Fitr* (*estimated)
1973-11-18,Fête de l'indépendance
1974-01-01,Nouvel an - Premier janvier
1974-01-03,Eid al-Adha* (*estimated)
1974-01-04,Eid al-Adha* (*estimated)
1974-01-11,Commémoration de la présentation du manifeste de l'indépendance
1974-01-24,1er Moharram* (*estimated)
1974-03-03,Fête du Trône
1974-04-04,Aid al Mawlid Annabawi* (*estimated)
1974-04-05,Aid al Mawlid Annabawi* (*estimated)
1974-05-01,Fête du Travail
1974-07-09,Fête du Trône
1974-08-14,Journée de Oued Ed-Dahab
1974-08-20,Commémoration de la révolution du Roi et du peuple
1974-10-16,Eid al-Fitr* (*estimated)
1974-10-17,Eid al-Fitr* (*estimated)
1974-11-18,Fête de l'indépendance
1974-12-24,Eid al-Adha* (*estimated)
1974-12-25,Eid al-Adha* (*estimated)
1975-01-01,Nouvel an - Premier janvier
1975-01-11,Commémoration de la présentation du manifeste de l'indépendance
1975-01-13,1er Moharram* (*estimated)
1975-03-03,Fête du Trône
1975-03-24,Aid al Mawlid Annabawi* (*estimated)
1975-03-25,Aid al Mawlid Annabawi* (*estimated)
1975-05-01,Fête du Travail
1975-07-09,Fête du Trône
1975-08-14,Journée de Oued Ed-Dahab
1975-08-20,Commémoration de la révolution du Roi et du peuple
1975-10-06,Eid al-Fitr* (*estimated)
1975-10-07,Eid al-Fitr* (*estimated)
1975-11-18,Fête de l'indépendance
1975-12-13,Eid al-Adha* (*estimated)
1975-12-14,Eid al-Adha* (*estimated)
1976-01-01,Nouvel an - Premier janvier
1976-01-02,1er Moharram* (*estimated)
1976-01-11,Commémoration de la présentation du manifeste de l'indépendance
1976-03-03,Fête du Trône
1976-03-12,Aid al Mawlid Annabawi* (*estimated)
1976-03-13,Aid al Mawlid Annabawi* (*estimated)
1976-05-01,Fête du Travail
1976-07-09,Fête du Trône
1976-08-14,Journée de Oued Ed-Dahab
1976-08-20,Commémoration de la révolution du Roi et du peuple
1976-09-24,Eid al-Fitr* (*estimated)
1976-09-25,Eid al-Fitr* (*estimated)
1976-11-06,Marche verte
1976-11-18,Fête de l'indépendance
1976-12-01,Eid al-Adha* (*estimated)
1976-12-02,Eid al-Adha* (*estimated)
1976-12-22,1er Moharram* (*estimated)
1977-01-01,Nouvel an - Premier janvier
1977-01-11,Commémoration de la présentation du manifeste de l'indépendance
1977-03-02,Aid al Mawlid Annabawi* (*estimated)
1977-03-03,Aid al Mawlid Annabawi* (*estimated); Fête du Trône
1977-05-01,Fête du Travail
1977-07-09,Fête du Trône
1977-08-14,Journée de Oued Ed-Dahab
1977-08-20,Commémoration de la révolution du Roi et du peuple
1977-09-14,Eid al-Fitr* (*estimated)
1977-09-15,Eid al-Fitr* (*estimated)
1977-11-06,Marche verte
1977-11-18,Fête de l'indépendance
1977-11-21,Eid al-Adha* (*estimated)
1977-11-22,Eid al-Adha* (*estimated)
1977-12-11,1er Moharram* (*estimated)
1978-01-01,Nouvel an - Premier janvier
1978-01-11,Commémoration de la présentation du manifeste de l'indépendance
1978-02-19,Aid al Mawlid Annabawi* (*estimated)
1978-02-20,Aid al Mawlid Annabawi* (*estimated)
1978-03-03,Fête du Trône
1978-05-01,Fête du Travail
1978-07-09,Fête du Trône
